naslov,avtor,ocena
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 11,198,430 ratings"
The Stand,Stephen        King,"4.35 avg rating — 822,938 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 879,149 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 322,872 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.35 avg rating — 818,117 ratings"
Rebecca,Daphne du Maurier,"4.25 avg rating — 710,228 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.09 avg rating — 502,008 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 864,170 ratings"
The Color Purple,Alice Walker,"4.28 avg rating — 743,857 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,140,664 ratings"
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 916,905 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,090,805 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 773,044 ratings"
My Sister's Keeper,Jodi Picoult,"4.11 avg rating — 1,268,476 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.39 avg rating — 377,010 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,764,408 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it4.00 avg rating — 759,971 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 505,100 ratings"
The Road,Cormac McCarthy,"really liked it4.00 avg rating — 1,015,943 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.03 avg rating — 1,603,335 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.10 avg rating — 676,615 ratings"
Siddhartha,Hermann Hesse,"4.08 avg rating — 859,179 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,118,891 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 654,071 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.91 avg rating — 300,700 ratings"
And Then There Were None,Agatha Christie,"4.27 avg rating — 1,572,657 ratings"
The Elephant Tree,R.D. Ronald,"3.89 avg rating — 39,023 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,284,687 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.11 avg rating — 786,038 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.40 avg rating — 293,320 ratings"
